Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.1378,7.34864,15.1217,2.59012,29.563,29.563,0,0,,189.895,744.901,142.724,58.58,54.65,15.7364,37.0224,0.495198,7.32115,234.86,11.1311,1.75466,6.34372,0.745821,0.315289,0.049701,0.265588466078043,0.203729,0.946555,0.282218,0.768259,,,2.43941,6.88315,6.40181,6.550000190734863,,,,,,,1175.4,6.186315789473685,1080,5.684210526315789,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.2293,8.71577,14.4144,3.09995,29.841,29.841,0,0,,184.619,745.536,149.969,67.87,63.59,17.0948,47.4333,0.461194,5.08784,220.057,10.7276,2.31233,4.63929,0.833355,0.295166,0.0636231,0.23154301941394806,0.216401,1.06924,0.291479,0.746715,,,2.80842,5.81934,4.95502,10.029999732971191,,,,,,,1053.9,5.696756756756757,988,5.34054054054054,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",13.7863,8.20577,15.2133,3.06984,29.219,29.219,0,0,,187.339,759.033,164.792,69.02,63.9,13.9809,44.1818,0.47351,6.00231,190.779,9.16524,2.12255,4.31804,0.671659,0.251344,0.058208,0.19313620030879974,0.232479,1.11549,0.299176,0.738931,,,2.87223,5.18833,4.98604,27.280000686645508,,,,,,,1014.5999999999999,5.42566844919786,985,5.267379679144385,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.5841,9.03909,16.1531,3.36016,30.043,30.043,0,0,,194.428,798.239,179.029,78.08,72.59,16.4636,47.551,0.851416,5.8397,193.072,8.93722,2.20112,4.06031,0.762094,0.241872,0.0595699,0.18230225145816803,0.240356,1.16537,0.303683,0.729618,,,3.0737,5.00623,4.4338,63,,,,,,,997.4000000000002,5.141237113402063,986,5.082474226804123,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",12.7657,8.1974,13.9531,3.25995,28.502,28.502,0,0,,176.8,713.29,146.696,68.88,64.04,20.1624,40.5654,0.511547,5.986,209.854,10.6826,2.06498,5.17324,1.02637,0.294206,0.0568708,0.23733554035425186,0.22002,1.05917,0.289734,0.744377,,,3.03365,4.9878,4.28494,11.239999771118164,,,,,,,960.5999999999999,5.4271186440677965,904,5.107344632768362,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10.8008,7.40978,12.0991,3.57979,25.052,25.052,0,0,,153.336,632.695,127.687,65.34,60.99,16.5691,41.0118,0.404832,11.7527,199.555,11.7128,2.40717,4.8658,0.972517,0.315404,0.0648207,0.2505836859345436,0.220177,1.10019,0.305432,0.710361,,,2.96937,4.39014,3.10414,38.720001220703125,,,,,,,831.3000000000002,5.4333333333333345,785,5.130718954248366,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.1276,8.458,14.5591,3.38006,29.306,29.306,0,0,,182.553,731.912,150.519,73.26,68.56,24.2308,36.6839,0.492619,7.36917,188.024,9.2697,1.80854,5.12551,1.1946,0.256894,0.0501207,0.20677315443754196,0.218823,1.02547,0.265532,0.743365,,,3.52468,4.34399,4.24524,38.7599983215332,,,,,,,910.4,4.974863387978142,847,4.628415300546448,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Hunter Greene","CIN",10.827,9.03369,12.7294,3.59014,27.716,27.716,0,0,,165.754,676.823,133.52,70.54,66.12,21.8547,47.5466,0.442159,6.62471,209.264,11.3625,2.58165,4.40123,1.18665,0.309185,0.0702496,0.23893526941537857,0.214438,1.09238,0.2852,0.734543,,,3.30466,4.2999,3.31395,42.59000015258789,,,,,,,862.4000000000002,5.195180722891568,797,4.801204819277109,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Dylan Cease","TOR",12.5869,8.32403,12.8036,3.37017,29.436,29.436,0,0,,172.727,709.148,133.349,69.18,64.68,18.9054,63.8142,0.591874,4.50095,204.118,10.6356,3.32506,3.19862,0.985074,0.287835,0.0899871,0.19784776121377945,0.208087,1.14147,0.273912,0.749774,,,3.38108,4.25068,4.00902,79.97000122070312,,,,,,,901.7,5.2121387283236995,819,4.734104046242774,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",13.5192,7.5961,14.2546,3.23975,28.454,28.454,0,0,,178.486,734.681,150.382,69.04,64.25,14.3993,54.8304,0.466946,9.31386,171.693,8.65748,2.76478,3.13135,0.726074,0.233698,0.0746316,0.15906592458486557,0.224271,1.14974,0.280698,0.735855,,,3.33817,4.21115,4.35878,53.54999923706055,,,,,,,907,5.095505617977528,860,4.831460674157303,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
