Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9861,8.9535,22.6444,2.7948,32,32,0,0,,199.765,796.51,159.68,68.1296,62.0336,20.2206,43.5197,0.364,7.1128,242.588,10.9293,1.96069,5.57422,0.911,0.304564,0.054638,0.24992616847157478,0.214083,1.01719,0.288695,0.772311,0.42434,,2.78267,5.89032,5.79623,6.550000190734863,,,,,,,1151,5.755,1073,5.365,4.09,3.67,3.39,3.17,2.98,2.8,2.62,2.42,2.17,3.55,3.37,3.25,3.14,3.05,2.96,2.87,2.76,2.62,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.4833,9.1366,21.2594,2.92113,32,32,0,0,,193.982,785.668,158.118,69.2342,62.9606,17.5661,51.6545,0.5028,7.1724,236.972,10.9946,2.39657,4.58763,0.815,0.301618,0.065746,0.23587214201688766,0.217541,1.08141,0.297588,0.758928,0.443775,,2.7789,5.683,5.74043,10.029999732971191,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5877,8.9596,20.6821,3.03309,32,32,0,0,,192.855,773.898,157.874,71.13,64.9942,19.6712,49.8754,0.493,6.0093,237.989,11.1063,2.32754,4.77167,0.918,0.30752,0.064447,0.24307285994291306,0.219876,1.07723,0.300211,0.758114,0.455967,,2.8624,5.5457,5.39046,11.239999771118164,,,,,,,1079.4,5.592746113989638,1013,5.248704663212435,4.41,3.96,3.66,3.43,3.22,3.03,2.83,2.62,2.36,3.85,3.65,3.51,3.4,3.3,3.19,3.09,2.97,2.82,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5081,9.3538,21.1586,3.13788,32,32,0,0,,198.055,812.033,182.498,76.9593,69.0525,17.4288,50.5751,0.4953,6.6741,191.352,8.69538,2.29823,3.78351,0.792,0.235645,0.0622821,0.17336301133036613,0.241789,1.17681,0.302323,0.748128,0.545382,,3.214,4.7252,5.14912,27.280000686645508,,,,,,,990.9000000000001,5.004545454545455,977,4.934343434343434,4.58,4.14,3.85,3.61,3.4,3.21,3.01,2.8,2.53,4.01,3.82,3.68,3.57,3.48,3.38,3.28,3.17,3.02,"Cristopher Sanchez","20778",650911
"Cole Ragans","KCR",11.793,8.5611,17.4431,3.28196,29.16,29.16,0,0,,172.018,711.406,140.364,68.1721,62.7285,18.0619,62.2609,0.5983,5.6365,210.373,11.0067,3.25749,3.37889,0.945,0.295714,0.0875181,0.2081960141658783,0.218123,1.17793,0.294652,0.758172,0.399002,,3.23833,4.20537,4.23006,45.099998474121094,,,,,,,903.3999999999999,5.252325581395348,842,4.895348837209302,4.76,4.27,3.94,3.68,3.46,3.25,3.03,2.8,2.51,4.15,3.93,3.78,3.65,3.54,3.43,3.32,3.19,3.02,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.9651,7.5786,17.7248,3.19508,27.54,27.54,0,0,,168.535,685.659,139.804,65.0393,59.8314,18.1456,44.286,0.5232,8.6098,205.7,10.9847,2.36493,4.64482,0.969,0.300004,0.064589,0.23541495949029922,0.220943,1.0923,0.297515,0.750228,0.416542,,3.03533,4.15054,4.32151,38.720001220703125,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.59,3.36,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6009,10.3871,20.7276,3.32205,32,32,0,0,,199.392,831.145,194.027,81.8846,73.5988,16.6603,47.1658,0.7555,6.0516,187.213,8.45028,2.12894,3.96925,0.752,0.225247,0.056748,0.16849886998534203,0.249416,1.20965,0.308973,0.731213,0.547548,,3.14421,4.09762,3.93098,63,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.81,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Jacob deGrom","TEX",11.4001,9.14,17.1171,3.52445,29.16,29.16,0,0,,174.797,715.795,152.627,73.7193,68.4515,23.6559,39.806,0.4402,5.342,202.573,10.4302,2.04954,5.08902,1.218,0.283005,0.0556109,0.22739386558532715,0.227581,1.10089,0.290202,0.745151,0.378878,,3.35152,4.03496,3.37993,46.279998779296875,,,,,,,873,4.988571428571428,834,4.765714285714286,5.04,4.52,4.19,3.92,3.68,3.46,3.24,3,2.7,4.43,4.19,4.03,3.89,3.77,3.65,3.52,3.38,3.2,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12.4069,9.7232,17.4667,3.57712,32,32,0,0,,184.857,777.037,156.597,79.4643,73.4729,22.2034,67.5214,1.178,5.8837,216.823,10.5563,3.28736,3.21117,1.081,0.279038,0.086896,0.1921420767903328,0.222555,1.21239,0.289263,0.749372,0.381771,,3.54201,3.85879,3.37588,79.97000122070312,,,,,,,902.2,4.876756756756757,851,4.6,5.04,4.56,4.25,3.99,3.77,3.56,3.35,3.12,2.82,4.4,4.2,4.06,3.95,3.85,3.75,3.64,3.53,3.37,"Dylan Cease","18525",656302
"Sonny Gray","BOS",11.5286,9.9902,16.9364,3.70738,30.78,30.78,0,0,,181.357,757.548,171.641,81.198,74.7066,21.2994,47.8755,0.5015,5.6627,189.262,9.39229,2.37586,3.95321,1.057,0.249835,0.063198,0.18663715571165085,0.243805,1.21041,0.304676,0.729154,0.451378,,3.46036,3.84736,3.47429,132.24000549316406,,,,,,,849.9000000000001,4.695580110497238,848,4.685082872928176,5.23,4.74,4.42,4.16,3.93,3.71,3.5,3.26,2.95,4.58,4.37,4.23,4.11,4.01,3.9,3.8,3.67,3.51,"Sonny Gray","12768",543243
