"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,year,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Colon, Bartolo",112526,90.9,87.8,,82.8,82.6,81.5,,,,,2015,2255.0,2110.0,,2178.0,1727.0,1758.0,,,,,29.1,53.5,,9.7,7.4,0.3,,,,
"Colon, Bartolo",112526,90.4,87.6,,82.5,81.4,,,,,,2016,2264.0,2100.0,,2282.0,1683.0,,,,,,25.9,63.5,,6.3,4.3,,,,,
"Colon, Bartolo",112526,90.3,87.1,86.6,81.5,81.3,,,,,,2017,2241.0,2087.0,2300.0,2334.0,1678.0,,,,,,19.7,62.9,0.3,7.3,9.7,,,,,
"Colon, Bartolo",112526,89.3,86.9,85.5,80.5,80.8,,,,,,2018,2280.0,2136.0,2312.0,2388.0,1657.0,,,,,,16.4,62.3,2.8,7.4,11.1,,,,,
"Hawkins, LaTroy",115629,93.7,93.8,,87.7,84.7,78.2,,,,,2015,2052.0,2049.0,,2066.0,1698.0,2240.0,,,,,73.8,1.6,,16.1,8.0,0.5,,,,
"Wolf, Randy",150116,89.3,88.6,,83.7,78.5,69.7,,,,,2015,2103.0,1997.0,,2051.0,1669.0,2335.0,,,,,15.7,33.0,,24.6,11.1,15.7,,,,
"Marquis, Jason",150302,,88.3,,82.6,78.8,,,,,,2015,,1782.0,,1977.0,1239.0,,,,,,,59.4,,19.4,21.2,,,,,
"Burnett, A.J.",150359,91.7,91.5,,,86.3,82.3,,,,,2015,2082.0,1992.0,,,1678.0,2023.0,,,,,11.7,50.1,,,8.8,29.4,,,,
"Hudson, Tim",218596,88.5,88.7,83.0,,,75.8,80.9,,,,2015,2126.0,2025.0,2102.0,,,2260.0,1369.0,,,,7.0,47.3,22.8,,,11.6,11.2,,,
"Grilli, Jason",276351,94.6,94.6,,83.1,86.5,,,,,,2015,2401.0,2196.0,,2192.0,2257.0,,,,,,66.4,1.5,,31.9,0.2,,,,,
"Grilli, Jason",276351,93.0,92.7,,81.1,84.9,,,,,,2016,2362.0,2247.0,,2605.0,2134.0,,,,,,59.4,2.5,,35.7,2.4,,,,,
"Grilli, Jason",276351,92.8,92.1,,81.0,85.8,,,,,,2017,2361.0,2266.0,,2674.0,2094.0,,,,,,60.8,3.0,,33.7,2.5,,,,,
"Arroyo, Bronson",276520,84.4,83.4,84.4,72.9,75.7,71.8,,,,,2017,2017.0,1979.0,2104.0,2302.0,1489.0,2341.0,,,,,23.5,10.5,7.5,20.7,9.7,28.1,,,,
"Benoit, Joaquín",276542,94.8,94.9,,88.0,84.7,,,,,,2015,2280.0,2252.0,,2332.0,1434.0,,,,,,38.0,7.9,,19.7,34.4,,,,,
"Benoit, Joaquín",276542,94.5,95.3,,87.2,84.5,,,,,,2016,2291.0,2188.0,,2422.0,1374.0,,,,,,33.7,20.9,,19.4,26.1,,,,,
"Benoit, Joaquín",276542,94.8,94.7,,87.4,84.5,83.7,,,,,2017,2249.0,2225.0,,2396.0,1421.0,1498.0,,,,,49.1,10.3,,12.5,27.9,0.1,,,,
"Belisle, Matt",279571,91.1,90.8,,85.9,86.4,75.2,,,,,2015,1982.0,1975.0,,1869.0,1838.0,2347.0,,,,,41.4,17.0,,29.5,3.1,9.0,,,,
"Belisle, Matt",279571,91.5,91.2,,86.7,88.1,75.3,,,,,2016,2078.0,2032.0,,2095.0,1728.0,2374.0,,,,,50.9,6.1,,32.1,0.9,10.0,,,,
"Belisle, Matt",279571,90.6,90.3,,85.8,85.0,73.7,,,,,2017,2060.0,2033.0,,2072.0,1514.0,2499.0,,,,,46.0,9.4,,32.6,0.5,11.4,,,,
"Belisle, Matt",279571,90.3,91.4,,85.5,85.2,73.5,,,,,2018,2044.0,1997.0,,2092.0,1364.0,2501.0,,,,,46.1,8.9,,37.0,0.2,7.9,,,,
"Buehrle, Mark",279824,84.5,83.5,79.9,,78.7,71.7,,,,,2015,2076.0,1973.0,1907.0,,1625.0,2137.0,,,,,26.4,24.5,19.5,,21.1,8.6,,,,
"Sabathia, CC",282332,90.8,89.8,90.2,79.6,83.9,,,,,,2015,2114.0,2049.0,1980.0,1823.0,1950.0,,,,,,25.2,38.3,0.0,22.5,14.0,,,,,
"Sabathia, CC",282332,89.0,89.6,,80.4,82.5,,,,,,2016,2192.0,2019.0,,2085.0,1957.0,,,,,,35.7,35.7,,22.9,5.7,,,,,
"Sabathia, CC",282332,89.2,90.7,89.9,79.6,83.8,,,,,,2017,2105.0,2004.0,2155.0,2237.0,1843.0,,,,,,0.3,22.9,30.2,31.1,15.6,,,,,
"Sabathia, CC",282332,90.2,90.1,89.1,80.0,83.4,,,,,,2018,2070.0,2027.0,2221.0,2250.0,1878.0,,,,,,1.0,14.2,43.7,30.9,10.1,,,,,
"Sabathia, CC",282332,88.8,89.1,88.3,79.2,82.7,,,,,,2019,2098.0,2051.0,2194.0,2208.0,1885.0,,,,,,1.3,14.3,42.0,30.2,12.2,,,,,
"Vogelsong, Ryan",285064,91.6,91.6,,88.5,84.0,77.0,,,,,2015,2071.0,2003.0,,1986.0,1759.0,1876.0,,,,,41.2,14.1,,15.5,8.7,20.6,,,,
"Vogelsong, Ryan",285064,90.8,90.2,,87.6,84.2,76.3,,,,,2016,2046.0,1956.0,,2009.0,1793.0,1973.0,,,,,37.2,12.1,,22.2,12.9,15.6,,,,
"Dickey, R.A.",285079,82.3,,,,,,,76.7,,,2015,1810.0,,,,,,,1359.0,,,11.3,,,,,,,88.7,,
"Dickey, R.A.",285079,82.9,,,,,,,76.6,,,2016,1889.0,,,,,,,1592.0,,,13.0,,,,,,,87.0,,
"Dickey, R.A.",285079,83.6,,,,,,,77.3,,,2017,1878.0,,,,,,,1530.0,,,17.3,,,,,,,82.7,,
"Choate, Randy",329092,84.8,84.2,,74.5,,,,,,,2015,1920.0,1794.0,,1962.0,,,,,,,0.7,60.8,,38.4,,,,,,
"Affeldt, Jeremy",346793,,91.0,,,86.7,75.0,,,,,2015,,2004.0,,,1266.0,2482.0,,,,,,67.5,,,8.7,23.8,,,,
"Lohse, Kyle",346798,89.8,89.9,,84.7,79.8,75.3,,,,,2015,2294.0,2137.0,,2115.0,1519.0,2248.0,,,,,0.9,43.9,,27.2,21.0,6.8,,,,
